	organism	tem_range
178	Geobacillus subterraneus  subsp. subterraneus (Nazina et al. 2001) Poli et al. 2013	thermophilic
179	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
180	Geobacillus toebii Sung et al. 2002 emend. Coorevits et al. 2012	thermophilic
181	Geobacillus lituanicus Kuisiene et al. 2004	thermophilic
182	Geobacillus stromboliensis	thermophilic
183	Geobacillus jurassicus Nazina et al. 2005 emend. Coorevits et al. 2012	thermophilic
184	Geobacillus jurassicus Nazina et al. 2005 emend. Coorevits et al. 2012	thermophilic
185	Geobacillus zalihae	thermophilic
186	Geobacillus toebii  subsp. decanicus Poli, A. et al. 2006	thermophilic
187	Geobacillus galactosidasius Poli et al. 2012	thermophilic
188	Geobacillus thermodenitrificans  subsp. calidus Cihan et al. 2011	thermophilic
189	Geobacillus thermodenitrificans  subsp. calidus Cihan et al. 2011	thermophilic
190	Caldalkalibacillus uzonensis Zhao et al. 2008	thermophilic
191	Lysinibacillus sphaericus (Meyer and Neide 1904) Ahmed et al. 2007	thermophilic
192	Lysinibacillus sphaericus (Meyer and Neide 1904) Ahmed et al. 2007	thermophilic
193	Lysinibacillus sphaericus (Meyer and Neide 1904) Ahmed et al. 2007	thermophilic
194	Microaerobacter geothermalis Khelifi et al. 2011	thermophilic
195	Aeribacillus pallidus (Scholz et al. 1988) Mi&ntilde;ana-Galbis et al. 2010	thermophilic
196	Aeribacillus pallidus (Scholz et al. 1988) Mi&ntilde;ana-Galbis et al. 2010	thermophilic
197	Calditerricola satsumensis Moriya et al. 2011	thermophilic
198	Calditerricola yamamurae Moriya et al. 2011	thermophilic
199	Caldicoprobacter faecalis (Winter et al. 1988) Bouanane-Darenfed et al. 2015	thermophilic
200	Acetomicrobium flavidum Soutschek et al. 1985	thermophilic
201	Bradyrhizobium denitrificans (Hirsch and M&uuml;ller 1986) van Berkum et al. 2011	thermophilic
202	Caldisphaera lagunensis Itoh et al. 2003	thermophilic
203	Phenylobacterium lituiforme Kanso and Patel 2004	thermophilic
204	Chlorobaculum tepidum (Wahlund et al. 1996) Imhoff 2003	thermophilic
205	Roseiflexus castenholzii Hanada et al. 2002	thermophilic
206	Chloroflexus aurantiacus Pierson and Castenholz 1974	thermophilic
207	Chloroflexus aurantiacus Pierson and Castenholz 1974	thermophilic
208	Chloroflexus aurantiacus Pierson and Castenholz 1974	thermophilic
209	Chloroflexus aurantiacus Pierson and Castenholz 1974	thermophilic
210	Chloroflexus aggregans Hanada et al. 1995	thermophilic
211	Chloroflexus aggregans Hanada et al. 1995	thermophilic
212	Tepidimicrobium ferriphilum Slobodkin et al. 2006	thermophilic
213	Tepidimicrobium xylanilyticum Niu et al. 2009	thermophilic
214	Thermobrachium celere Engle et al. 1996	thermophilic
215	Thermobrachium celere Engle et al. 1996	thermophilic
216	Caloramator fervidus (Patel et al. 1987) Collins et al. 1994 emend. Ogg and Patel 2011	thermophilic
217	Caloramator proteoclasticus Tarlera et al. 1997 emend. Ogg and Patel 2011	thermophilic
218	Caloramator coolhaasii Plugge et al. 2000 emend. Ogg and Patel 2011	thermophilic
219	Caloramator viterbiensis Seyfried et al. 2002 emend. Ogg and Patel 2011	thermophilic
220	Caloramator uzoniensis	thermophilic
221	Caloramator australicus Ogg and Patel 2009 emend. Ogg and Patel 2011	thermophilic
222	Caloramator mitchellensis Ogg and Patel 2011	thermophilic
223	Caloramator boliviensis Crespo et al. 2012	thermophilic
224	Caloranaerobacter azorensis Wery et al. 2001	thermophilic
225	Caminicella sporogenes Alain et al. 2002	thermophilic
226	Thermoanaerobacterium sp.	thermophilic
227	Clostridium sp.	thermophilic
228	Anaerosalibacter sp.	thermophilic
229	Clostridium thermocellum Viljoen et al. 1926	thermophilic
230	Clostridium thermocellum Viljoen et al. 1926	thermophilic
231	Clostridium thermocellum Viljoen et al. 1926	thermophilic
232	Clostridium thermocellum Viljoen et al. 1926	thermophilic
233	Clostridium sp.	thermophilic
234	Clostridium stercorarium  subsp. thermolacticum (Le Ruyet et al. 1988) Fardeau et al. 2001	thermophilic
235	Clostridium stercorarium  subsp. thermolacticum (Le Ruyet et al. 1988) Fardeau et al. 2001	thermophilic
236	Clostridium thermobutyricum Wiegel et al. 1989	thermophilic
237	Clostridium thermosuccinogenes Drent et al. 1995	thermophilic
238	Clostridium thermosuccinogenes Drent et al. 1995	thermophilic
239	Clostridium thermosuccinogenes Drent et al. 1995	thermophilic
240	Clostridium thermosuccinogenes Drent et al. 1995	thermophilic
241	Clostridium thermopalmarium Soh et al. 1991	thermophilic
242	Clostridium paradoxum Li et al. 1993	thermophilic
243	Clostridium paradoxum Li et al. 1993	thermophilic
244	Clostridium stercorarium  subsp. stercorarium Madden 1983 emend. Fardeau et al. 2001	thermophilic
245	Clostridium thermoalcaliphilum Li et al. 1994	thermophilic
246	Clostridium stercorarium  subsp. leptospartum (Toda et al. 1989) Fardeau et al. 2001	thermophilic
247	Clostridium uzonii Krivenko et al.	thermophilic
248	Clostridium uzonii Krivenko et al.	thermophilic
249	Paramaledivibacter caminithermalis (Brisbarre et al. 2003) Li et al. 2016	thermophilic
250	Clostridium amygdalinum Parshina et al. 2003	thermophilic
251	Clostridium straminisolvens Kato et al. 2004	thermophilic
252	Clostridium josui Sukhumavasi et al. 1988	thermophilic
253	Clostridium tepidiprofundi Slobodkina et al. 2008	thermophilic
254	Clostridium clariflavum Shiratori et al. 2009	thermophilic
255	Clostridium caenicola Shiratori et al. 2009	thermophilic
256	Thermohalobacter berrensis Cayol et al. 2000	thermophilic
257	Geosporobacter subterraneus Klouche et al. 2007	thermophilic
